"PlotID","Hill","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Taxa","Diversity"
53,"Shannon diversity",-1.9,103.3,10,"Control",,,0,"Bats",1
53,"Species richness",-1.9,103.3,10,"Control",,,0,"Bats",1
54,"Species richness",-2,103.3,10,"Control",,,0,"Bats",2
54,"Simpson diversity",-2,103.3,10,"Control",,,0,"Bats",2
54,"Shannon diversity",-2,103.3,10,"Control",,,0,"Bats",2
55,"Species richness",-2,103.3,10,"Control",,,0,"Bats",2
55,"Shannon diversity",-2,103.3,10,"Control",,,0,"Bats",2
55,"Simpson diversity",-2,103.3,10,"Control",,,0,"Bats",2
56,"Shannon diversity",-2,103.2,10,"Control",,,0,"Bats",3
56,"Species richness",-2,103.2,10,"Control",,,0,"Bats",3
56,"Simpson diversity",-2,103.2,10,"Control",,,0,"Bats",3
1,"Species richness",-1.9,103.3,40,"Island",1,"A",400,"Birds",2
1,"Simpson diversity",-1.9,103.3,40,"Island",1,"A",400,"Birds",2
1,"Shannon diversity",-1.9,103.3,40,"Island",1,"A",400,"Birds",2
2,"Species richness",-1.9,103.3,20,"Island",3,"ACF",99,"Birds",3
2,"Shannon diversity",-1.9,103.3,20,"Island",3,"ACF",99,"Birds",2.8
2,"Simpson diversity",-1.9,103.3,20,"Island",3,"ACF",99,"Birds",2.7
3,"Shannon diversity",-1.9,103.3,20,"Island",2,"CD",100,"Birds",2.8
3,"Species richness",-1.9,103.3,20,"Island",2,"CD",100,"Birds",3
3,"Simpson diversity",-1.9,103.3,20,"Island",2,"CD",100,"Birds",2.7
4,"Simpson diversity",-1.9,103.3,10,"Island",1,"F",25,"Birds",4
4,"Shannon diversity",-1.9,103.3,10,"Island",1,"F",25,"Birds",4
4,"Species richness",-1.9,103.3,10,"Island",1,"F",25,"Birds",4
5,"Simpson diversity",-1.9,103.3,40,"Island",1,"B",400,"Birds",3
5,"Species richness",-1.9,103.3,40,"Island",1,"B",400,"Birds",3
5,"Shannon diversity",-1.9,103.3,40,"Island",1,"B",400,"Birds",3
6,"Species richness",-1.9,103.3,5,"Island",1,"E",6,"Birds",3
6,"Simpson diversity",-1.9,103.3,5,"Island",1,"E",6,"Birds",2.7
6,"Shannon diversity",-1.9,103.3,5,"Island",1,"E",6,"Birds",2.8
7,"Shannon diversity",-1.9,103.3,40,"Island",3,"AEF",399,"Birds",4
7,"Simpson diversity",-1.9,103.3,40,"Island",3,"AEF",399,"Birds",4
7,"Species richness",-1.9,103.3,40,"Island",3,"AEF",399,"Birds",4
8,"Shannon diversity",-1.9,103.2,5,"Island",1,"F",6,"Birds",5
8,"Simpson diversity",-1.9,103.2,5,"Island",1,"F",6,"Birds",4.2
8,"Species richness",-1.9,103.2,5,"Island",1,"F",6,"Birds",6
9,"Simpson diversity",-1.9,103.3,10,"Island",3,"ABD",24,"Birds",2
9,"Species richness",-1.9,103.3,10,"Island",3,"ABD",24,"Birds",2
9,"Shannon diversity",-1.9,103.3,10,"Island",3,"ABD",24,"Birds",2
10,"Simpson diversity",-1.9,103.3,20,"Island",0,"Z",0,"Birds",5.5
10,"Species richness",-1.9,103.3,20,"Island",0,"Z",0,"Birds",8
10,"Shannon diversity",-1.9,103.3,20,"Island",0,"Z",0,"Birds",6.5
11,"Shannon diversity",-1.9,103.3,10,"Island",1,"D",25,"Birds",6
11,"Species richness",-1.9,103.3,10,"Island",1,"D",25,"Birds",7
11,"Simpson diversity",-1.9,103.3,10,"Island",1,"D",25,"Birds",5.3
12,"Shannon diversity",-1.9,103.3,20,"Island",1,"C",100,"Birds",2.6
12,"Simpson diversity",-1.9,103.3,20,"Island",1,"C",100,"Birds",2.3
12,"Species richness",-1.9,103.3,20,"Island",1,"C",100,"Birds",3
13,"Simpson diversity",-1.9,103.3,10,"Island",1,"E",25,"Birds",3.3
13,"Shannon diversity",-1.9,103.3,10,"Island",1,"E",25,"Birds",4.5
13,"Species richness",-1.9,103.3,10,"Island",1,"E",25,"Birds",6
14,"Species richness",-1.9,103.2,10,"Island",1,"C",25,"Birds",3
14,"Simpson diversity",-1.9,103.2,10,"Island",1,"C",25,"Birds",3
14,"Shannon diversity",-1.9,103.2,10,"Island",1,"C",25,"Birds",3
15,"Species richness",-1.9,103.3,20,"Island",1,"B",100,"Birds",6
15,"Shannon diversity",-1.9,103.3,20,"Island",1,"B",100,"Birds",5.1
15,"Simpson diversity",-1.9,103.3,20,"Island",1,"B",100,"Birds",4.5
16,"Shannon diversity",-1.9,103.3,5,"Island",3,"ACD",6,"Birds",5
16,"Species richness",-1.9,103.3,5,"Island",3,"ACD",6,"Birds",6
16,"Simpson diversity",-1.9,103.3,5,"Island",3,"ACD",6,"Birds",4.3
17,"Simpson diversity",-1.9,103.3,20,"Island",1,"F",100,"Birds",5.4
17,"Shannon diversity",-1.9,103.3,20,"Island",1,"F",100,"Birds",6.2
17,"Species richness",-1.9,103.3,20,"Island",1,"F",100,"Birds",7
18,"Simpson diversity",-1.9,103.3,5,"Island",2,"DE",6,"Birds",0
18,"Species richness",-1.9,103.3,5,"Island",2,"DE",6,"Birds",0
18,"Shannon diversity",-1.9,103.3,5,"Island",2,"DE",6,"Birds",0
19,"Simpson diversity",-1.9,103.3,20,"Island",6,"ABCDEF",96,"Birds",3.6
19,"Species richness",-1.9,103.3,20,"Island",6,"ABCDEF",96,"Birds",4
19,"Shannon diversity",-1.9,103.3,20,"Island",6,"ABCDEF",96,"Birds",3.8
20,"Simpson diversity",-1.9,103.3,10,"Island",1,"B",25,"Birds",1
20,"Shannon diversity",-1.9,103.3,10,"Island",1,"B",25,"Birds",1
20,"Species richness",-1.9,103.3,10,"Island",1,"B",25,"Birds",1
21,"Shannon diversity",-1.9,103.2,10,"Island",6,"ABCDEF",24,"Birds",0
21,"Species richness",-1.9,103.2,10,"Island",6,"ABCDEF",24,"Birds",0
21,"Simpson diversity",-1.9,103.2,10,"Island",6,"ABCDEF",24,"Birds",0
22,"Species richness",-1.9,103.2,5,"Island",2,"BF",6,"Birds",1
22,"Simpson diversity",-1.9,103.2,5,"Island",2,"BF",6,"Birds",1
22,"Shannon diversity",-1.9,103.2,5,"Island",2,"BF",6,"Birds",1
23,"Species richness",-1.9,103.3,40,"Island",6,"ABCDEF",396,"Birds",7
23,"Simpson diversity",-1.9,103.3,40,"Island",6,"ABCDEF",396,"Birds",4.5
23,"Shannon diversity",-1.9,103.3,40,"Island",6,"ABCDEF",396,"Birds",5.7
24,"Simpson diversity",-1.9,103.3,40,"Island",2,"CE",400,"Birds",3.4
24,"Shannon diversity",-1.9,103.3,40,"Island",2,"CE",400,"Birds",3.6
24,"Species richness",-1.9,103.3,40,"Island",2,"CE",400,"Birds",4
25,"Shannon diversity",-1.9,103.3,5,"Island",1,"A",6,"Birds",1
25,"Species richness",-1.9,103.3,5,"Island",1,"A",6,"Birds",1
25,"Simpson diversity",-1.9,103.3,5,"Island",1,"A",6,"Birds",1
26,"Simpson diversity",-1.9,103.3,40,"Island",2,"DF",400,"Birds",4.3
26,"Shannon diversity",-1.9,103.3,40,"Island",2,"DF",400,"Birds",4.6
26,"Species richness",-1.9,103.3,40,"Island",2,"DF",400,"Birds",5
27,"Shannon diversity",-1.9,103.2,10,"Island",2,"AE",24,"Birds",0
