"PlotID","Hill","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Taxa","Diversity"
6,"Simpson diversity",-1.945,103.253,5,"Island",1,"E",6,"Birds",0.486
6,"Shannon diversity",-1.945,103.253,5,"Island",1,"E",6,"Birds",0.433
7,"Shannon diversity",-1.945,103.255,40,"Island",3,"AEF",399,"Birds",0.613
7,"Simpson diversity",-1.945,103.255,40,"Island",3,"AEF",399,"Birds",0.729
7,"Species richness",-1.945,103.255,40,"Island",3,"AEF",399,"Birds",0.5
8,"Shannon diversity",-1.946,103.249,5,"Island",1,"F",6,"Birds",0.766
8,"Simpson diversity",-1.946,103.249,5,"Island",1,"F",6,"Birds",0.759
8,"Species richness",-1.946,103.249,5,"Island",1,"F",6,"Birds",0.75
9,"Simpson diversity",-1.946,103.251,10,"Island",3,"ABD",24,"Birds",0.364
9,"Species richness",-1.946,103.251,10,"Island",3,"ABD",24,"Birds",0.25
9,"Shannon diversity",-1.946,103.251,10,"Island",3,"ABD",24,"Birds",0.306
10,"Simpson diversity",-1.946,103.252,20,"Island",0,"Z",0,"Birds",1
10,"Species richness",-1.946,103.252,20,"Island",0,"Z",0,"Birds",1
10,"Shannon diversity",-1.946,103.252,20,"Island",0,"Z",0,"Birds",1
11,"Shannon diversity",-1.946,103.253,10,"Island",1,"D",25,"Birds",0.925
11,"Species richness",-1.946,103.253,10,"Island",1,"D",25,"Birds",0.875
11,"Simpson diversity",-1.946,103.253,10,"Island",1,"D",25,"Birds",0.959
12,"Shannon diversity",-1.946,103.254,20,"Island",1,"C",100,"Birds",0.396
12,"Simpson diversity",-1.946,103.254,20,"Island",1,"C",100,"Birds",0.414
12,"Species richness",-1.946,103.254,20,"Island",1,"C",100,"Birds",0.375
13,"Simpson diversity",-1.946,103.256,10,"Island",1,"E",25,"Birds",0.607
13,"Shannon diversity",-1.946,103.256,10,"Island",1,"E",25,"Birds",0.685
13,"Species richness",-1.946,103.256,10,"Island",1,"E",25,"Birds",0.75
14,"Species richness",-1.947,103.249,10,"Island",1,"C",25,"Birds",0.375
14,"Simpson diversity",-1.947,103.249,10,"Island",1,"C",25,"Birds",0.547
14,"Shannon diversity",-1.947,103.249,10,"Island",1,"C",25,"Birds",0.459
15,"Species richness",-1.947,103.25,20,"Island",1,"B",100,"Birds",0.75
15,"Shannon diversity",-1.947,103.25,20,"Island",1,"B",100,"Birds",0.784
15,"Simpson diversity",-1.947,103.25,20,"Island",1,"B",100,"Birds",0.82
16,"Shannon diversity",-1.947,103.252,5,"Island",3,"ACD",6,"Birds",0.763
16,"Species richness",-1.947,103.252,5,"Island",3,"ACD",6,"Birds",0.75
16,"Simpson diversity",-1.947,103.252,5,"Island",3,"ACD",6,"Birds",0.79
17,"Simpson diversity",-1.947,103.253,20,"Island",1,"F",100,"Birds",0.984
17,"Shannon diversity",-1.947,103.253,20,"Island",1,"F",100,"Birds",0.956
17,"Species richness",-1.947,103.253,20,"Island",1,"F",100,"Birds",0.875
18,"Simpson diversity",-1.947,103.254,5,"Island",2,"DE",6,"Birds",0
18,"Species richness",-1.947,103.254,5,"Island",2,"DE",6,"Birds",0
18,"Shannon diversity",-1.947,103.254,5,"Island",2,"DE",6,"Birds",0
19,"Simpson diversity",-1.947,103.256,20,"Island",6,"ABCDEF",96,"Birds",0.651
19,"Species richness",-1.947,103.256,20,"Island",6,"ABCDEF",96,"Birds",0.5
19,"Shannon diversity",-1.947,103.256,20,"Island",6,"ABCDEF",96,"Birds",0.58
20,"Simpson diversity",-1.947,103.257,10,"Island",1,"B",25,"Birds",0.182
20,"Shannon diversity",-1.947,103.257,10,"Island",1,"B",25,"Birds",0.153
20,"Species richness",-1.947,103.257,10,"Island",1,"B",25,"Birds",0.125
21,"Shannon diversity",-1.949,103.248,10,"Island",6,"ABCDEF",24,"Birds",0
21,"Species richness",-1.949,103.248,10,"Island",6,"ABCDEF",24,"Birds",0
21,"Simpson diversity",-1.949,103.248,10,"Island",6,"ABCDEF",24,"Birds",0
22,"Species richness",-1.949,103.249,5,"Island",2,"BF",6,"Birds",0.125
22,"Simpson diversity",-1.949,103.249,5,"Island",2,"BF",6,"Birds",0.182
22,"Shannon diversity",-1.949,103.249,5,"Island",2,"BF",6,"Birds",0.153
23,"Species richness",-1.949,103.251,40,"Island",6,"ABCDEF",396,"Birds",0.875
23,"Simpson diversity",-1.949,103.251,40,"Island",6,"ABCDEF",396,"Birds",0.828
23,"Shannon diversity",-1.949,103.251,40,"Island",6,"ABCDEF",396,"Birds",0.88
24,"Simpson diversity",-1.948,103.254,40,"Island",2,"CE",400,"Birds",0.625
24,"Shannon diversity",-1.948,103.254,40,"Island",2,"CE",400,"Birds",0.554
24,"Species richness",-1.948,103.254,40,"Island",2,"CE",400,"Birds",0.5
25,"Shannon diversity",-1.949,103.256,5,"Island",1,"A",6,"Birds",0.153
25,"Species richness",-1.949,103.256,5,"Island",1,"A",6,"Birds",0.125
25,"Simpson diversity",-1.949,103.256,5,"Island",1,"A",6,"Birds",0.182
26,"Simpson diversity",-1.948,103.257,40,"Island",2,"DF",400,"Birds",0.777
26,"Shannon diversity",-1.948,103.257,40,"Island",2,"DF",400,"Birds",0.702
26,"Species richness",-1.948,103.257,40,"Island",2,"DF",400,"Birds",0.625
27,"Shannon diversity",-1.95,103.246,10,"Island",2,"AE",24,"Birds",0
27,"Species richness",-1.95,103.246,10,"Island",2,"AE",24,"Birds",0
27,"Simpson diversity",-1.95,103.246,10,"Island",2,"AE",24,"Birds",0
28,"Species richness",-1.95,103.248,5,"Island",1,"B",6,"Birds",0.25
28,"Simpson diversity",-1.95,103.248,5,"Island",1,"B",6,"Birds",0.328
28,"Shannon diversity",-1.95,103.248,5,"Island",1,"B",6,"Birds",0.289
29,"Shannon diversity",-1.95,103.249,40,"Island",3,"BCD",399,"Birds",0.306
29,"Species richness",-1.95,103.249,40,"Island",3,"BCD",399,"Birds",0.25
29,"Simpson diversity",-1.95,103.249,40,"Island",3,"BCD",399,"Birds",0.364
30,"Species richness",-1.95,103.253,20,"Island",1,"E",100,"Birds",0.875
30,"Simpson diversity",-1.95,103.253,20,"Island",1,"E",100,"Birds",0.94
30,"Shannon diversity",-1.95,103.253,20,"Island",1,"E",100,"Birds",0.901
31,"Simpson diversity",-1.95,103.254,5,"Island",1,"C",6,"Birds",0.414
31,"Shannon diversity",-1.95,103.254,5,"Island",1,"C",6,"Birds",0.396
31,"Species richness",-1.95,103.254,5,"Island",1,"C",6,"Birds",0.375
32,"Species richness",-1.95,103.256,10,"Island",2,"CF",24,"Birds",0.625
32,"Simpson diversity",-1.95,103.256,10,"Island",2,"CF",24,"Birds",0.583
32,"Shannon diversity",-1.95,103.256,10,"Island",2,"CF",24,"Birds",0.613
33,"Simpson diversity",-1.95,103.257,20,"Island",3,"BDE",99,"Birds",0.486
33,"Shannon diversity",-1.95,103.257,20,"Island",3,"BDE",99,"Birds",0.433
33,"Species richness",-1.95,103.257,20,"Island",3,"BDE",99,"Birds",0.375
34,"Shannon diversity",-1.951,103.245,10,"Island",2,"BD",24,"Birds",0.306
34,"Species richness",-1.951,103.245,10,"Island",2,"BD",24,"Birds",0.25
34,"Simpson diversity",-1.951,103.245,10,"Island",2,"BD",24,"Birds",0.364
35,"Shannon diversity",-1.952,103.247,40,"Island",0,"Z",0,"Birds",0.289
35,"Species richness",-1.952,103.247,40,"Island",0,"Z",0,"Birds",0.25
35,"Simpson diversity",-1.952,103.247,40,"Island",0,"Z",0,"Birds",0.328
36,"Species richness",-1.951,103.248,20,"Island",2,"AF",100,"Birds",0
36,"Simpson diversity",-1.951,103.248,20,"Island",2,"AF",100,"Birds",0
36,"Shannon diversity",-1.951,103.248,20,"Island",2,"AF",100,"Birds",0
37,"Simpson diversity",-1.951,103.249,10,"Island",0,"Z",0,"Birds",0.182
37,"Shannon diversity",-1.951,103.249,10,"Island",0,"Z",0,"Birds",0.153
37,"Species richness",-1.951,103.249,10,"Island",0,"Z",0,"Birds",0.125
38,"Shannon diversity",-1.952,103.25,20,"Island",1,"D",100,"Birds",0.866
38,"Simpson diversity",-1.952,103.25,20,"Island",1,"D",100,"Birds",0.872
38,"Species richness",-1.952,103.25,20,"Island",1,"D",100,"Birds",0.875
39,"Shannon diversity",-1.951,103.252,5,"Island",2,"AC",6,"Birds",0.721
39,"Simpson diversity",-1.951,103.252,5,"Island",2,"AC",6,"Birds",0.812
39,"Species richness",-1.951,103.252,5,"Island",2,"AC",6,"Birds",0.625
40,"Simpson diversity",-1.951,103.257,5,"Island",0,"Z",0,"Birds",0.703
40,"Shannon diversity",-1.951,103.257,5,"Island",0,"Z",0,"Birds",0.663
40,"Species richness",-1.951,103.257,5,"Island",0,"Z",0,"Birds",0.625
41,"Species richness",-1.953,103.244,10,"Island",1,"A",25,"Birds",0.375
41,"Simpson diversity",-1.953,103.244,10,"Island",1,"A",25,"Birds",0.486
41,"Shannon diversity",-1.953,103.244,10,"Island",1,"A",25,"Birds",0.433
42,"Species richness",-1.953,103.245,5,"Island",1,"D",6,"Birds",0.25
42,"Shannon diversity",-1.953,103.245,5,"Island",1,"D",6,"Birds",0.306
