"PlotID","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Function","value"
4,-1.943,103.253,10,"Island",1,"F",25,"Microclimate buffer",0.151
5,-1.945,103.252,40,"Island",1,"B",400,"Microclimate buffer",0.155
6,-1.945,103.253,5,"Island",1,"E",6,"Microclimate buffer",0.157
7,-1.945,103.255,40,"Island",3,"AEF",399,"Microclimate buffer",0.138
8,-1.946,103.249,5,"Island",1,"F",6,"Microclimate buffer",0.175
9,-1.946,103.251,10,"Island",3,"ABD",24,"Microclimate buffer",0.155
10,-1.946,103.252,20,"Island",0,"Z",0,"Microclimate buffer",0.131
11,-1.946,103.253,10,"Island",1,"D",25,"Microclimate buffer",0.148
12,-1.946,103.254,20,"Island",1,"C",100,"Microclimate buffer",0.135
13,-1.946,103.256,10,"Island",1,"E",25,"Microclimate buffer",0.151
14,-1.947,103.249,10,"Island",1,"C",25,"Microclimate buffer",0.149
15,-1.947,103.25,20,"Island",1,"B",100,"Microclimate buffer",0.157
16,-1.947,103.252,5,"Island",3,"ACD",6,"Microclimate buffer",0.148
17,-1.947,103.253,20,"Island",1,"F",100,"Microclimate buffer",0.134
18,-1.947,103.254,5,"Island",2,"DE",6,"Microclimate buffer",0.16
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Microclimate buffer",0.144
20,-1.947,103.257,10,"Island",1,"B",25,"Microclimate buffer",0.142
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Microclimate buffer",0.125
22,-1.949,103.249,5,"Island",2,"BF",6,"Microclimate buffer",0.151
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Microclimate buffer",0.129
24,-1.948,103.254,40,"Island",2,"CE",400,"Microclimate buffer",0.16
25,-1.949,103.256,5,"Island",1,"A",6,"Microclimate buffer",0.148
26,-1.948,103.257,40,"Island",2,"DF",400,"Microclimate buffer",0.139
27,-1.95,103.246,10,"Island",2,"AE",24,"Microclimate buffer",0.186
28,-1.95,103.248,5,"Island",1,"B",6,"Microclimate buffer",0.17
29,-1.95,103.249,40,"Island",3,"BCD",399,"Microclimate buffer",0.155
30,-1.95,103.253,20,"Island",1,"E",100,"Microclimate buffer",0.157
31,-1.95,103.254,5,"Island",1,"C",6,"Microclimate buffer",0.143
32,-1.95,103.256,10,"Island",2,"CF",24,"Microclimate buffer",0.149
33,-1.95,103.257,20,"Island",3,"BDE",99,"Microclimate buffer",0.17
34,-1.951,103.245,10,"Island",2,"BD",24,"Microclimate buffer",0.129
35,-1.952,103.247,40,"Island",0,"Z",0,"Microclimate buffer",0.142
36,-1.951,103.248,20,"Island",2,"AF",100,"Microclimate buffer",0.134
37,-1.951,103.249,10,"Island",0,"Z",0,"Microclimate buffer",0.147
38,-1.952,103.25,20,"Island",1,"D",100,"Microclimate buffer",0.128
39,-1.951,103.252,5,"Island",2,"AC",6,"Microclimate buffer",0.152
40,-1.951,103.257,5,"Island",0,"Z",0,"Microclimate buffer",0.14
41,-1.953,103.244,10,"Island",1,"A",25,"Microclimate buffer",0.14
42,-1.953,103.245,5,"Island",1,"D",6,"Microclimate buffer",0.147
43,-1.95,103.259,40,"Island",1,"C",400,"Microclimate buffer",0.144
44,-1.953,103.248,5,"Island",3,"BEF",6,"Microclimate buffer",0.146
45,-1.953,103.249,40,"Island",1,"E",400,"Microclimate buffer",0.142
46,-1.954,103.242,40,"Island",2,"AB",400,"Microclimate buffer",0.177
47,-1.954,103.244,20,"Island",2,"BE",100,"Microclimate buffer",0.164
48,-1.954,103.245,10,"Island",3,"CEF",24,"Microclimate buffer",0.146
49,-1.954,103.247,40,"Island",1,"F",400,"Microclimate buffer",0.124
50,-1.954,103.248,5,"Island",6,"ABCDEF",6,"Microclimate buffer",0.122
51,-1.954,103.249,20,"Island",1,"A",100,"Microclimate buffer",0.138
52,-1.955,103.243,40,"Island",1,"D",400,"Microclimate buffer",0.154
53,-1.943,103.255,10,"Control",,,0,"Microclimate buffer",0.149
54,-1.951,103.256,10,"Control",,,0,"Microclimate buffer",0.147
55,-1.951,103.253,10,"Control",,,0,"Microclimate buffer",0.147
56,-1.955,103.246,10,"Control",,,0,"Microclimate buffer",0.142
1,-1.942,103.252,40,"Island",1,"A",400,"Water infiltration",0
2,-1.942,103.253,20,"Island",3,"ACF",99,"Water infiltration",0.01
3,-1.943,103.252,20,"Island",2,"CD",100,"Water infiltration",0.004
4,-1.943,103.253,10,"Island",1,"F",25,"Water infiltration",0.001
5,-1.945,103.252,40,"Island",1,"B",400,"Water infiltration",0.005
6,-1.945,103.253,5,"Island",1,"E",6,"Water infiltration",0.005
7,-1.945,103.255,40,"Island",3,"AEF",399,"Water infiltration",0.011
8,-1.946,103.249,5,"Island",1,"F",6,"Water infiltration",0.003
9,-1.946,103.251,10,"Island",3,"ABD",24,"Water infiltration",0.005
10,-1.946,103.252,20,"Island",0,"Z",0,"Water infiltration",0.014
11,-1.946,103.253,10,"Island",1,"D",25,"Water infiltration",0.001
12,-1.946,103.254,20,"Island",1,"C",100,"Water infiltration",0.015
13,-1.946,103.256,10,"Island",1,"E",25,"Water infiltration",0.005
14,-1.947,103.249,10,"Island",1,"C",25,"Water infiltration",0.012
15,-1.947,103.25,20,"Island",1,"B",100,"Water infiltration",0.012
16,-1.947,103.252,5,"Island",3,"ACD",6,"Water infiltration",0.003
17,-1.947,103.253,20,"Island",1,"F",100,"Water infiltration",0.006
18,-1.947,103.254,5,"Island",2,"DE",6,"Water infiltration",0.001
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Water infiltration",0.003
20,-1.947,103.257,10,"Island",1,"B",25,"Water infiltration",0.002
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Water infiltration",0.003
22,-1.949,103.249,5,"Island",2,"BF",6,"Water infiltration",0.006
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Water infiltration",0.004
24,-1.948,103.254,40,"Island",2,"CE",400,"Water infiltration",0.007
25,-1.949,103.256,5,"Island",1,"A",6,"Water infiltration",0.002
26,-1.948,103.257,40,"Island",2,"DF",400,"Water infiltration",0.006
27,-1.95,103.246,10,"Island",2,"AE",24,"Water infiltration",0.002
28,-1.95,103.248,5,"Island",1,"B",6,"Water infiltration",0.002
29,-1.95,103.249,40,"Island",3,"BCD",399,"Water infiltration",0.006
30,-1.95,103.253,20,"Island",1,"E",100,"Water infiltration",0.001
31,-1.95,103.254,5,"Island",1,"C",6,"Water infiltration",0.013
32,-1.95,103.256,10,"Island",2,"CF",24,"Water infiltration",0.005
33,-1.95,103.257,20,"Island",3,"BDE",99,"Water infiltration",0.001
34,-1.951,103.245,10,"Island",2,"BD",24,"Water infiltration",0.002
35,-1.952,103.247,40,"Island",0,"Z",0,"Water infiltration",0.006
36,-1.951,103.248,20,"Island",2,"AF",100,"Water infiltration",0.006
37,-1.951,103.249,10,"Island",0,"Z",0,"Water infiltration",0.005
38,-1.952,103.25,20,"Island",1,"D",100,"Water infiltration",0.01
39,-1.951,103.252,5,"Island",2,"AC",6,"Water infiltration",0.007
40,-1.951,103.257,5,"Island",0,"Z",0,"Water infiltration",0.001
41,-1.953,103.244,10,"Island",1,"A",25,"Water infiltration",0.01
42,-1.953,103.245,5,"Island",1,"D",6,"Water infiltration",0.001
43,-1.95,103.259,40,"Island",1,"C",400,"Water infiltration",0.002
44,-1.953,103.248,5,"Island",3,"BEF",6,"Water infiltration",0.018
45,-1.953,103.249,40,"Island",1,"E",400,"Water infiltration",0.012
46,-1.954,103.242,40,"Island",2,"AB",400,"Water infiltration",0.005
47,-1.954,103.244,20,"Island",2,"BE",100,"Water infiltration",0.007
48,-1.954,103.245,10,"Island",3,"CEF",24,"Water infiltration",0.004
49,-1.954,103.247,40,"Island",1,"F",400,"Water infiltration",0.009
50,-1.954,103.248,5,"Island",6,"ABCDEF",6,"Water infiltration",0.004
51,-1.954,103.249,20,"Island",1,"A",100,"Water infiltration",0.002
52,-1.955,103.243,40,"Island",1,"D",400,"Water infiltration",0.002
53,-1.943,103.255,10,"Control",,,0,"Water infiltration",0.001
54,-1.951,103.256,10,"Control",,,0,"Water infiltration",0.003
55,-1.951,103.253,10,"Control",,,0,"Water infiltration",0.001
56,-1.955,103.246,10,"Control",,,0,"Water infiltration",0.003
